"padacchedah","anvaya","spart"
"तव दूतः लेखितुम् न शक्नोति","तव दूतः लेखितुम् न शक्नोति","तव दूतः लेखितुं न शक्नोति।"
"तव धर्मपत्नी अत्र अस्ति किम्","तव धर्मपत्नी अत्र अस्ति किम्","तव धर्मपत्नी अत्र अस्ति किम्।"
"तव पुत्रः कदा वनम् गमिष्यति","तव पुत्रः कदा वनम् गमिष्यति","तव पुत्रः कदा वनं गमिष्यति।"
"तव पुत्रः कुत्र अस्ति","तव पुत्रः कुत्र अस्ति","तव पुत्रः कुत्र अस्ति।"
"तव भोजने कर-पट्टिका न अस्ति","तव भोजने कर-पट्टिका न अस्ति","तव भोजने कर-पट्टिका न अस्ति।"
"तव भ्राता क्व अस्ति","तव भ्राता क्व अस्ति","तव भ्राता क्व अस्ति।"
"तव भ्राता मद्रास-नगरम् कदा गमिष्यति","तव भ्राता मद्रास-नगरम् कदा गमिष्यति","तव भ्राता मद्रास-नगरं कदा गमिष्यति।"
"तव मातुः नाम किम् अस्ति","तव मातुः नाम किम् अस्ति","तव मातुः नाम किम् अस्ति।"
"तव मित्रस्य निवासः कुत्र अस्ति","तव मित्रस्य निवासः कुत्र अस्ति"," तव मित्रस्य निवासः कुत्र अस्ति।"
"तव यष्टिका कुत्र अस्ति","तव यष्टिका कुत्र अस्ति","तव यष्टिका कुत्र अस्ति।"
"तव वस्त्रम् न अस्ति किम्","तव वस्त्रम् न अस्ति किम्","तव वस्त्रं न अस्ति किम्।"
"तव वस्त्रम् मलिनम् अस्ति","तव वस्त्रम् मलिनम् अस्ति","तव वस्त्रं मलिनम् अस्ति।"
"(त्वं) तस्य अश्वस्य पुच्छं पश्य","(त्वं) तस्य अश्वस्य पुच्छं पश्य","तस्य अश्वस्य पुच्छं पश्य।"
"तस्य आज्ञया अहम् इदम् कार्यं करोमि","तस्य आज्ञया अहम् इदम् कार्यं करोमि","तस्य आज्ञया अहम् इदं कार्यं करोमि।"
"तस्य कः अभिप्रायः अस्ति","तस्य कः अभिप्रायः अस्ति","तस्य कः अभिप्रायः अस्ति।"
"तस्य कन्या अलङ्कारं परिदधाति","तस्य कन्या अलङ्कारं परिदधाति","तस्य कन्या अलङ्कारं परिदधाति।"
"तस्य कुक्कुरः अन्नम् भक्षयति","तस्य कुक्कुरः अन्नम् भक्षयति","तस्य कुक्कुरः अन्नं भक्षयति।"
"तस्य केशाः अतीव कृष्णाः सन्ति","तस्य केशाः अतीव कृष्णाः सन्ति","तस्य केशाः अतीव कृष्णाः सन्ति।"
"तस्य खट्वा कुत्र अस्ति","तस्य खट्वा कुत्र अस्ति","तस्य खट्वा कुत्र अस्ति।"
"तस्य गृहम् कुत्र अस्ति","तस्य गृहम् कुत्र अस्ति","तस्य गृहं कुत्र अस्ति।"
"तस्य गृहम् तत्र न अस्ति","तस्य गृहम् तत्र न अस्ति","तस्य गृहं तत्र न अस्ति।"
"तस्य गृहम् अतीव दूरम् अस्ति","तस्य गृहम् अतीव दूरम् अस्ति","तस्य गृहम् अतीव दूरम् अस्ति।"
"तस्य गृहम् अतीव पुराणम् अस्ति","तस्य गृहम् अतीव पुराणम् अस्ति","तस्य गृहम् अतीव पुराणम् अस्ति।"
"तस्य गृहे मम वस्त्रम् अस्ति","तस्य गृहे मम वस्त्रम् अस्ति","तस्य गृहे मम वस्त्रम् अस्ति।"
"तस्य दन्तः श्वेतः न अस्ति","तस्य दन्तः श्वेतः न अस्ति","तस्य दन्तः श्वेतः न अस्ति।"
"तस्य निश्चयम् ज्ञात्वा एकम् कुक्कुरम् हस्ते कृत्वा माता आह","तस्य निश्चयम् ज्ञात्वा एकम् कुक्कुरम् हस्ते कृत्वा माता आह","तस्य निश्चयं ज्ञात्वा एकं कुक्कुरं हस्ते कृत्वा माता आह।"
"तस्य पिता अतीव वृद्धः अस्ति","तस्य पिता अतीव वृद्धः अस्ति","तस्य पिता अतीव वृद्धः अस्ति।"
"तस्य पुच्छः श्वेतः अस्ति","तस्य पुच्छः श्वेतः अस्ति","तस्य पुच्छं श्वेतम् अस्ति।"
"तस्य पुत्रः पाठशालायां पठति","तस्य पुत्रः पाठशालायां पठति"," तस्य पुत्रः पाठशालायां पठति।"
"तस्य भ्राता न लिखति","तस्य भ्राता न लिखति","तस्य भ्राता न लिखति।"
"तस्य भ्राता शीघ्रम् न आगमिष्यति","तस्य भ्राता शीघ्रम् न आगमिष्यति","तस्य भ्राता शीघ्रं न आगमिष्यति।"
"तस्य मलिन-हस्तात् कुण्डलिनीम् (त्वम्) न गृहाण","तस्य मलिन-हस्तात् कुण्डलिनीम् (त्वम्) न गृहाण","तस्य मलिन-हस्तात् कुण्डलिनीं न गृहाण।"
"तस्य माता किम् वदति","तस्य माता किम् वदति","तस्य माता किं वदति।"
"तस्य मुखम् मलिनम् न अस्ति","तस्य मुखम् मलिनम् न अस्ति"," तस्य मुखं मलिनं न अस्ति।"
"तस्य वासः तत्र भविष्यति","तस्य वासः तत्र भविष्यति","तस्य वासः तत्र भविष्यति।"
"तस्य शाला उत्तमा अस्ति","तस्य शाला उत्तमा अस्ति","तस्य शाला उत्तमा अस्ति।"
"(त्वम्) तस्याम् देवतायाम् भक्तिम् धारय","(त्वम्) तस्याम् देवतायाम् भक्तिम् धारय","तस्यां देवतायां भक्तिं धारय।"
"तस्याः वस्त्रम् कुत्र अस्ति","तस्याः वस्त्रम् कुत्र अस्ति","तस्याः वस्त्रं कुत्र अस्ति।"
"(त्वम्) तस्यै जलम् देहि","(त्वम्) तस्यै जलम् देहि"," तस्यै जलं देहि।"
"(त्वं) ताम् पुत्रीं तस्मिन् स्थाने पश्य","(त्वं) ताम् पुत्रीं तस्मिन् स्थाने पश्य","तां पुत्रीं तस्मिन् स्थाने पश्य।"
"ताम्रस्य पात्रे जलम् अतीव शुद्धम् भवति","ताम्रस्य पात्रे जलम् अतीव शुद्धम् भवति","ताम्रस्य पात्रे जलम् अतीव शुद्धं भवति।"
"तृतीयम् श्रोत्रम् अस्ति येन शब्दः श्रूयते","तृतीयम् श्रोत्रम् अस्ति येन शब्दः श्रूयते","तृतीयं श्रोत्रम् अस्ति येन शब्दः श्रूयते।"
"त्वम् कम् पश्यसि","त्वम् कम् पश्यसि","त्वं कं पश्यसि।"
"त्वम् कथम् जानासि","त्वम् कथम् जानासि","त्वं कथं जानासि।"
"त्वम् कथम् शर्करया सह ओदनम् अत्सि","त्वम् कथम् शर्करया सह ओदनम् अत्सि","त्वं कथं शर्करया सह ओदनम् अत्सि।"
"त्वम् कदापि न आगच्छसि","त्वम् कदापि न आगच्छसि","त्वं कदापि न आगच्छसि।"
"त्वम् कदा गच्छसि","त्वम् कदा गच्छसि","त्वं कदा गच्छसि।"
"त्वम् कदा भ्रमणम् करिष्यसि","त्वम् कदा भ्रमणम् करिष्यसि","त्वं कदा भ्रमणं करिष्यसि।"
"त्वम् किम् सर्वदा नीचैः एव वदसि","त्वम् किम् सर्वदा नीचैः एव वदसि","त्वं किं सर्वदा नीचैः एव वदसि।"
"त्वम् कुत्र असि","त्वम् कुत्र असि","त्वं कुत्र असि।"
"त्वम् कुत्र गच्छसि","त्वम् कुत्र गच्छसि","त्वं कुत्र गच्छसि।"
"त्वम् कुत्र सदैव प्रातः गच्छसि","त्वम् कुत्र सदैव प्रातः गच्छसि","त्वं कुत्र सदैव प्रातः गच्छसि।"
"त्वम् गरलम् मा पिब","त्वम् गरलम् मा पिब","त्वं गरलं मा पिब।"
"त्वम् गो-दुग्धम् गृहीत्वा एव शिवालयम् गच्छ","त्वम् गो-दुग्धम् गृहीत्वा एव शिवालयम् गच्छ"," त्वं गो-दुग्धं गृहीत्वा एव शिवालयं गच्छ।"
"त्वम् घृतम् कथम् पिबसि","त्वम् घृतम् कथम् पिबसि","त्वं घृतं कथं पिबसि।"
"त्वम् तम् कटं कुत्र नयसि","त्वम् तम् कटं कुत्र नयसि","त्वं तं कटं कुत्र नयसि।"
"त्वम् तत्र किम् न गच्छसि","त्वम् तत्र किम् न गच्छसि","त्वं तत्र किं न गच्छसि।"
"त्वम् तत्र गन्तुम् शक्नोषि किम्","त्वम् तत्र गन्तुम् शक्नोषि किम्","त्वं तत्र गन्तुं शक्नोषि किम्।"
"त्वम् तस्य व्याख्यानम् शृणोषि किम्","त्वम् तस्य व्याख्यानम् शृणोषि किम्","त्वं तस्य व्याख्यानं शृणोषि किम्।"
"त्वम् तेन सह भाषणम् करोषि","त्वम् तेन सह भाषणम् करोषि","त्वं तेन सह भाषणं करोषि।"
"त्वम् देवतायाः पूजां कुरु","त्वम् देवतायाः पूजां कुरु","त्वं देवतायाः पूजां कुरु।"
"त्वम् न गच्छसि","त्वम् न गच्छसि","त्वं न गच्छसि।"
"त्वम् न गच्छसि किम्","त्वम् न गच्छसि किम्","त्वं न गच्छसि किम्।"
"त्वम् नासिकया सुगन्धम् गृह्णासि किम्","त्वम् नासिकया सुगन्धम् गृह्णासि किम्","त्वं नासिकया सुगन्धं गृह्णासि किम्।"
"त्वं नीचैः गच्छ","त्वं नीचैः गच्छ","त्वं नीचैः गच्छ।"
"त्वम् पत्रम् शीघ्रम् लिख","त्वम् पत्रम् शीघ्रम् लिख","त्वं पत्रं शीघ्रं लिख।"
"त्वम् परश्वः ग्रामम् गमिष्यसि किम्","त्वम् परश्वः ग्रामम् गमिष्यसि किम्","त्वं परश्वः ग्रामं गमिष्यसि किम्।"
"त्वम् पाठशालाम् गच्छसि किम्","त्वम् पाठशालाम् गच्छसि किम्","त्वं पाठशालां गच्छसि किम्।"
"त्वम् पुष्पम् आनयसि","त्वम् पुष्पम् आनयसि","त्वं पुष्पम् आनयसि।"
"त्वम् पूर्वम् गृहम् गत्वा पश्चात् स्नानम् कुरु","त्वम् पूर्वम् गृहम् गत्वा पश्चात् स्नानम् कुरु","त्वं पूर्वं गृहं गत्वा पश्चात् स्नानं कुरु।"
"त्वं प्रष्टुं गच्छ","त्वं प्रष्टुं गच्छ","त्वं प्रष्टुं गच्छ।"
"त्वम् प्रातः तक्रम् पिबसि किम्","त्वम् प्रातः तक्रम् पिबसि किम्","त्वं प्रातः तक्रं पिबसि किम्।"
"त्वम् प्रातः वनम् किम्-अर्थम् गच्छसि","त्वम् प्रातः वनम् किम्-अर्थम् गच्छसि","त्वं प्रातः वनं किम्-अर्थं गच्छसि।"
"त्वम् फलम् भक्षयसि किम्","त्वम् फलम् भक्षयसि किम्","त्वं फलं भक्षयसि किम्।"
"त्वम् बालकेन सह क्रीडसि","त्वम् बालकेन सह क्रीडसि","त्वं बालकेन सह क्रीडसि।"
"त्वम् मध्याह्ने कुत्र गच्छसि","त्वम् मध्याह्ने कुत्र गच्छसि","त्वं मध्याह्ने कुत्र गच्छसि।"
"त्वम् मसी-पात्रम् कुत्र स्थापयितुम् इच्छसि","त्वम् मसी-पात्रम् कुत्र स्थापयितुम् इच्छसि","त्वं मसी-पात्रं कुत्र स्थापयितुम् इच्छसि।"
"त्वम् मह्यम् पक्वम् अन्नम् दातुं शक्नोषि किम्","त्वम् मह्यम् पक्वम् अन्नम् दातुं शक्नोषि किम्","त्वं मह्यं पक्वम् अन्नं दातुं शक्नोषि किम्।"
"त्वम् अधुना किम् आज्ञापयसि","त्वम् अधुना किम् आज्ञापयसि","त्वं अधुना किम् आज्ञापयसि।"
"त्वम् मोदकं भक्षयसि","त्वम् मोदकं भक्षयसि","त्वं मोदकं भक्षयसि।"
"त्वम् यत्र रात्रौ गच्छसि तत्र अहम् अपि गच्छामि","त्वम् यत्र रात्रौ गच्छसि तत्र अहम् अपि गच्छामि","त्वं यत्र रात्रौ गच्छसि तत्र अहम् अपि गच्छामि।"
"त्वम् रात्रौ कदा स्वपिषि","त्वम् रात्रौ कदा स्वपिषि","त्वं रात्रौ कदा स्वपिषि।"
"त्वम् रात्रौ हरिद्वारम् गमिष्यसि किम्","त्वम् रात्रौ हरिद्वारम् गमिष्यसि किम्","त्वं रात्रौ हरिद्वारं गमिष्यसि किम्।"
"त्वं वृथा किम्-अर्थं गर्जसि","त्वं वृथा किम्-अर्थं गर्जसि","त्वं वृथा किम्-अर्थं गर्जसि।"
"त्वम् श्वः कुत्र गमिष्यसि","त्वम् श्वः कुत्र गमिष्यसि","त्वं श्वः कुत्र गमिष्यसि।"
"त्वम् श्वः जालन्धर-नगरं न गमिष्यसि किम्","त्वम् श्वः जालन्धर-नगरं न गमिष्यसि किम्","त्वं श्वः जालन्धर-नगरं न गमिष्यसि किम्।"
"भ्राता भ्रातरं द्वेष्टि","भ्राता भ्रातरं द्वेष्टि","भ्राता भ्रातरं द्वेष्टि।"
"त्वम् सदा किम्-अर्थम् नगरम् गच्छसि","त्वम् सदा किम्-अर्थम् नगरम् गच्छसि","त्वं सदा किम्-अर्थं नगरं गच्छसि।"
"त्वम् सर्वत्र न गच्छसि","त्वम् सर्वत्र न गच्छसि","त्वं सर्वत्र न गच्छसि।"
"त्वम् सर्वदा असत्यम् किम्-अर्थम् वदसि","त्वम् सर्वदा असत्यम् किम्-अर्थम् वदसि","त्वं सर्वदा असत्यं किम्-अर्थं वदसि।"
"त्वम् संस्कृतम् वक्तुम् शक्नोषि","त्वम् संस्कृतम् वक्तुम् शक्नोषि","त्वं संस्कृतं वक्तुं शक्नोषि।"
"त्वम् अत्र सायङ्काल-पर्यन्तं स्थातुं शक्नोषि किम्","त्वम् अत्र सायङ्काल-पर्यन्तं स्थातुं शक्नोषि किम्","त्वम् अत्र सायङ्काल-पर्यन्तं स्थातुं शक्नोषि किम्।"
"त्वम् अद्य गृहं गन्तुं किम्-अर्थम् इच्छसि","त्वम् अद्य गृहं गन्तुं किम्-अर्थम् इच्छसि","त्वम् अद्य गृहं गन्तुं किम्-अर्थम् इच्छसि।"
"त्वम् अद्य पाठशालां गच्छसि किम्","त्वम् अद्य पाठशालां गच्छसि किम्","त्वम् अद्य पाठशालां गच्छसि किम्।"
"त्वम् अधः गच्छ","त्वम् अधः गच्छ","त्वम् अधः गच्छ।"
"त्वम् अध्यापकस्य समीपे तं प्रश्नं प्रष्टुं गच्छसि किम्","त्वम् अध्यापकस्य समीपे तं प्रश्नं प्रष्टुं गच्छसि किम्","त्वम् अध्यापकस्य समीपे तं प्रश्नं प्रष्टुं गच्छसि किम्।"
"त्वम् अनृतं किम्-अर्थं न त्यजसि","त्वम् अनृतं किम्-अर्थं न त्यजसि","त्वम् अनृतं किम्-अर्थं न त्यजसि।"
"त्वम् अन्नम् आनेष्यसि किम्","त्वम् अन्नम् आनेष्यसि किम्","त्वम् अन्नम् आनेष्यसि किं।"
"त्वम् अपि किं न आरभसे","त्वम् अपि किं न आरभसे"," त्वम् अपि किं न आरभसे।"
"त्वम् अपूपम् आनयसि","त्वम् अपूपम् आनयसि","त्वम् अपूपम् आनयसि।"
"त्वम् अवश्यम् आगच्छ","त्वम् अवश्यम् आगच्छ","त्वम् अवश्यम् आगच्छ।"
"त्वम् असि","त्वम् असि","त्वम् असि।"
"त्वम् आम्रं भक्षयिष्यसि","त्वम् आम्रं भक्षयिष्यसि","त्वम् आम्रं भक्षयिष्यसि।"
"त्वम् इदानीम् किम् प्रक्षालयसि","त्वम् इदानीम् किम् प्रक्षालयसि","त्वम् इदानीं किं प्रक्षालयसि।"
"त्वम् इदानीं किं लिखसि","त्वम् इदानीं किं लिखसि","त्वम् इदानीं किं लिखसि।"
"त्वम् इदानीम् किम्-अर्थं धावसि","त्वम् इदानीम् किम्-अर्थं धावसि","त्वम् इदानीं किम्-अर्थं धावसि।"
"त्वम् इदानीं कुत्र गन्तुम् इच्छसि","त्वम् इदानीं कुत्र गन्तुम् इच्छसि","त्वम् इदानीं कुत्र गन्तुम् इच्छसि।"
"त्वम् इदानीम् कुशलः असि किम्","त्वम् इदानीम् कुशलः असि किम्","त्वम् इदानीं कुशलः असि किम्।"
"त्वम् इदानीम् एव किम्-अर्थं तत् प्रक्षालयसि","त्वम् इदानीम् एव किम्-अर्थं तत् प्रक्षालयसि","त्वम् इदानीम् एव किम्-अर्थं तत् प्रक्षालयसि।"
"त्वम् इदानीम् पठितुम् इच्छसि किम्","त्वम् इदानीम् पठितुम् इच्छसि किम्","त्वम् इदानीम् पठितुम् इच्छसि किम्।"
"त्वम् इन्धनम् आनय","त्वम् इन्धनम् आनय","त्वम् इन्धनम् आनय।"
"त्वम् अधुना पुस्तकम् देहि","त्वम् अधुना पुस्तकम् देहि","त्वम् अधुना पुस्तकं देहि।"
"त्वम् अपि तत्र गच्छ","त्वम् अपि तत्र गच्छ","त्वम् अपि तत्र गच्छ।"
"त्वम् इदानीम् किम् करोषि","त्वम् इदानीम् किम् करोषि","त्वम् इदानीं किं करोषि।"
"त्वम् इदानीम् किम्-अर्थम् बालकम् आज्ञापयसि","त्वम् इदानीम् किम्-अर्थम् बालकम् आज्ञापयसि","त्वम् इदानीं किम्-अर्थं बालकम् आज्ञापयसि।"
"त्वाम् दृष्ट्वा सः हसति","त्वाम् दृष्ट्वा सः हसति","त्वां दृष्ट्वा सः हसति।"
"(त्वं) दयाम् कुरु","(त्वं) दयाम् कुरु","दयां कुरु।"
"दातुः इच्छा कीदृशी अस्ति","दातुः इच्छा कीदृशी अस्ति","दातुः इच्छा कीदृशी अस्ति।"
"दीपात् प्रकाशः भवति","दीपात् प्रकाशः भवति","दीपात् प्रकाशः भवति।"
"दीवान-चन्द्रः धौतम् वस्त्रम् आनयति","दीवान-चन्द्रः धौतम् वस्त्रम् आनयति","दीवान-चन्द्रः धौतं वस्त्रम् आनयति।"
"अहम् दुग्धम् पीत्वा फलम् भक्षयामि","अहम् दुग्धम् पीत्वा फलम् भक्षयामि","अहं दुग्धं पीत्वा फलं भक्षयामि।"
"दुग्ध-पान-अर्थम् गाम् आनयति","दुग्ध-पान-अर्थम् गाम् आनयति","दुग्ध-पान-अर्थं गाम् आनयति।"
"(त्वं) दुग्धाय शर्कराम् देहि","(त्वं) दुग्धाय शर्कराम् देहि","दुग्धाय शर्करां देहि।"
"दुर्गा-दासः किम् करोति","दुर्गा-दासः किम् करोति","दुर्गा-दासः किं करोति।"
"दुष्टः अपराधम् स्वयम् कृत्वा अन्येन सः अपराधः कृतः इति दर्शयति","दुष्टः दर्शयति अपराधम् स्वयम् कृत्वा अन्येन सः अपराधः कृतः इति","दुष्टः अपराधं स्वयं कृत्वा सः अपराधः अन्येन कृतः इति दर्शयति।"
"देवः तत्र गच्छति","देवः तत्र गच्छति","देवः तत्र गच्छति।"
"देवदत्तः कूपम् खनति","देवदत्तः कूपम् खनति","देवदत्तः कूपं खनति।"
"देवदत्तः तत्र क्रीडति","देवदत्तः तत्र क्रीडति","देवदत्तः तत्र क्रीडति।"
"देवदत्तः नृपस्य प्रसादेन अतीव धनम् प्राप्नोति","देवदत्तः नृपस्य प्रसादेन अतीव धनम् प्राप्नोति","देवदत्तः नृपस्य प्रसादेन अतीव धनं प्राप्नोति।"
"देवदत्तः भोजनम् भक्षयित्वा पाठशालाम् गमिष्यति","देवदत्तः भोजनम् भक्षयित्वा पाठशालाम् गमिष्यति","देवदत्तः भोजनं भक्षयित्वा पाठशालां गमिष्यति।"
"देवदत्तस्य स्थानम् त्वं जानासि किम्","देवदत्तस्य स्थानम् त्वं जानासि किम्","देवदत्तस्य स्थानं त्वं जानासि किम्।"
"(त्वं) देवदत्ताय पुस्तकं देहि","(त्वं) देवदत्ताय पुस्तकं देहि","देवदत्ताय पुस्तकं देहि।"
"देवप्रियः बालः अस्ति","देवप्रियः बालः अस्ति","देवप्रियः  बालः अस्ति।"
"एतत् सर्वम् देवस्य अस्ति","एतत् सर्वम् देवस्य अस्ति","देवस्य एतत् सर्वम् अस्ति।"
"देवस्य गृहम् अस्ति","देवस्य गृहम् अस्ति","देवस्य गृहम् अस्ति।"
"देवात् ज्ञानम् लभते","देवात् ज्ञानम् लभते","देवात् ज्ञानं लभते।"
"(अहं) देवात् द्रव्यम् गृह्णामि","(अहं) देवात् द्रव्यम् गृह्णामि","देवात् द्रव्यं गृह्णामि।"
"(त्वं) देवाय जलम् देहि","(त्वं) देवाय जलम् देहि","देवाय जलं देहि।"
"(त्वं) देवाय फलम् देहि","(त्वं) देवाय फलम् देहि","देवाय फलं देहि।"
"देवे ज्ञानम् अस्ति","देवे ज्ञानम् अस्ति","देवे ज्ञानम् अस्ति।"
"देवे सर्वम् अस्ति","देवे सर्वम् अस्ति","देवे सर्वम् अस्ति।"
"द्रव्यस्य दानेन किम् फलम् भवति","द्रव्यस्य दानेन किम् फलम् भवति","द्रव्यस्य दानेन किं फलं भवति।"
"द्रव्यस्य दानेन पुण्यम् भवति","द्रव्यस्य दानेन पुण्यम् भवति","द्रव्यस्य दानेन पुण्यं भवति।"
"द्वितीयः चक्षुः अस्ति येन मनुष्यः सर्वम् पश्यति","द्वितीयः चक्षुः अस्ति येन मनुष्यः सर्वम् पश्यति"," द्वितीयः चक्षुः अस्ति येन मनुष्यः सर्वं पश्यति।"
"धनम् किम्-अर्थम् अस्ति","धनम् किम्-अर्थम् अस्ति","धनं किम्-अर्थम् अस्ति।"
"धनम् दानाय एव अस्ति","धनम् दानाय एव अस्ति","धनं दानाय एव अस्ति।"
"धर्मशालायाः रक्षकः कुत्र अस्ति","धर्मशालायाः रक्षकः कुत्र अस्ति","धर्मशालायाः रक्षकः कुत्र अस्ति।"
"धाता सकलम् विश्वम् रचयति","धाता सकलम् विश्वम् रचयति","धाता सकलं विश्वं रचयति।"
"धूम्र-यानेन त्वम् तत्र गमिष्यसि किम्","धूम्र-यानेन त्वम् तत्र गमिष्यसि किम्","धूम्र-यानेन त्वं तत्र गमिष्यसि किम्।"
"ध्याता ईश्वरम् ध्यायति","ध्याता ईश्वरम् ध्यायति","ध्याता ईश्वरं ध्यायति।"
"न अहम् अद्य सायम् नगरम् गमिष्यामि","न अहम् अद्य सायम् नगरम् गमिष्यामि","न, अहम् अद्य सायं नगरं गमिष्यामि।"
"(अहं) न जानामि तव रक्तम् वस्त्रम्","(अहं) न जानामि तव रक्तम् वस्त्रम्","न जानामि तव रक्तं वस्त्रम्।"
"न तेन विना वेदानाम् अपि ज्ञानम् भवितुम् अर्हति","न तेन विना वेदानाम् अपि ज्ञानम् भवितुम् अर्हति","न, तेन विना वेदानाम् अपि ज्ञानं भवितुम् अर्हति।"
"न अहम् उपरि तिष्ठामि","न अहम् उपरि तिष्ठामि"," न, अहम् उपरि तिष्ठामि।"
"अद्य श्वः च मम मित्रस्य निवासः अमृतसर-नगरे अस्ति .","अद्य श्वः च मम मित्रस्य निवासः अमृतसर-नगरे अस्ति .","अद्य श्वः च मम मित्रस्य निवासः अमृतसर-नगरे अस्ति।"
"नगरे नगरे जनः क्रीडाम् करोति","नगरे नगरे जनः क्रीडाम् करोति","नगरे नगरे जनः क्रीडां करोति।"
"नगरे शुद्धः वायुः कदापि न भवति","नगरे शुद्धः वायुः कदापि न भवति","नगरे शुद्धः वायुः कदापि न भवति।"
"नहि नहि अहम् आंग्ल-भाषाम् वक्तुम् शक्नोमि","नहि नहि अहम् आंग्ल-भाषाम् वक्तुम् शक्नोमि","नहि नहि अहम् आंग्ल-भाषां वक्तुं शक्नोमि।"
"नहि अहम् पश्चात् व्यायामम् कृत्वा स्नानम् कर्तुम् इच्छामि","नहि अहम् पश्चात् व्यायामम् कृत्वा स्नानम् कर्तुम् इच्छामि","नहि अहं पश्चात् व्यायामं कृत्वा स्नानं कर्तुम् इच्छामि।"
"नहि अहम् श्वः प्रातः स्नानम् कर्तुम् न इच्छामि","नहि अहम् श्वः प्रातः स्नानम् कर्तुम् न इच्छामि","नहि अहं श्वः प्रातः स्नानं कर्तुम् न इच्छामि।"
"नहि अहम् श्वः मध्याह्ने तत्र गमिष्यामि","नहि अहम् श्वः मध्याह्ने तत्र गमिष्यामि","नहि अहं श्वः मध्याह्ने तत्र गमिष्यामि।"
"नहि इदानीम् अहम् फलम् भक्षयितुम् इच्छामि","नहि इदानीम् अहम् फलम् भक्षयितुम् इच्छामि","नहि इदानीम् अहं फलं भक्षयितुम् इच्छामि।"
"सः ग्रामम् गत्वा रात्रौ आगमिष्यति","सः ग्रामम् गत्वा रात्रौ आगमिष्यति","सः ग्रामं गत्वा रात्रौ आगमिष्यति।"
"सः तत्र न अस्ति","सः तत्र न अस्ति"," सः तत्र न अस्ति।"
"तस्य नगरात् नगरस्य भ्रमणम् सदा भवति","तस्य नगरात् नगरस्य भ्रमणम् सदा भवति"," तस्य नागरात् नगरं भ्रमणं सदा भवति।"
"नृपः चौरम् ताडयति .","नृपः चौरम् ताडयति .","नृपः चौरं ताडयति।"
"नोचेत् (अहम्) त्वाम् अधुना एव ताडयिष्यामि","नोचेत् (अहम्) त्वाम् अधुना एव ताडयिष्यामि","नोचेत् त्वाम् अधुना एव ताडयिष्यामि ।"
"नोचेत् सः नैव गमिष्यति","नोचेत् सः नैव गमिष्यति","नो चेत् नैव गमिष्यति।"
"पंचमम् इन्द्रियम् त्वक् अस्ति यया मनुष्यः स्पर्शम् जानाति","पंचमम् इन्द्रियम् त्वक् अस्ति यया मनुष्यः स्पर्शम् जानाति","पंचमम् इन्द्रियं त्वक् अस्ति यया मनुष्यः स्पर्शं जानाति।"
"पठनस्य काले तस्याः शब्दः महान् भवति","पठनस्य काले तस्याः शब्दः महान् भवति","पठनस्य काले तस्याः शब्दः महान् भवति।"
"पठनाय पुस्तकम् अस्ति","पठनाय पुस्तकम् अस्ति","पठनाय पुस्तकम् अस्ति।"
"पण्डित-वरः देवव्रतः एव उत्तमम् व्याख्यानम् ददाति","पण्डित-वरः देवव्रतः एव उत्तमम् व्याख्यानम् ददाति","पण्डित-वरः देवव्रतः एव उत्तमं व्याख्यानं ददाति।"
"(त्वम्) पत्रस्य लेखनाय मसी-पात्रम् मह्यम् देहि .","(त्वम्) पत्रस्य लेखनाय मसी-पात्रम् मह्यम् देहि .","पत्रस्य लेखनाय मसी-पात्रं मह्यं देहि।"
"पत्रस्य लेखनेन किम् भविष्यति","पत्रस्य लेखनेन किम् भविष्यति","पत्रस्य लेखनेन किं भविष्यति।"
"परन्तु सः उद्यानम् अपि रक्षति","परन्तु सः उद्यानम् अपि रक्षति","परन्तु सः उद्यानम् अपि रक्षति।"
"परन्तु ज्ञानी सर्वम् परीक्ष्य अपराधिनम् एव यथा-योग्यम् ताडयति","परन्तु ज्ञानी सर्वम् परीक्ष्य अपराधिनम् एव यथा-योग्यम् ताडयति","परन्तु ज्ञानी सर्वं परीक्ष्य अपराधिनम् एव यथा-योग्यं ताडयति।"
"परन्तु तस्य भ्राता युवा अस्ति","परन्तु तस्य भ्राता युवा अस्ति","परन्तु तस्य भ्राता युवा अस्ति।"
"परन्तु भद्र-सेनः युवा अस्ति","परन्तु भद्र-सेनः युवा अस्ति","परन्तु भद्र-सेनः युवा अस्ति।"
"परन्तु विश्वनाथः तदानीम् न स्वपिति","परन्तु विश्वनाथः तदानीम् न स्वपिति","परन्तु विश्वनाथः तदानीं न स्वपिति।"
"परन्तु (अहम्) स्मृत्वा वदिष्यामि","परन्तु (अहम्) स्मृत्वा वदिष्यामि","परन्तु स्मृत्वा वदिष्यामि।"
"पर्वतस्य शिखरम् रमणीयम् अस्ति","पर्वतस्य शिखरम् रमणीयम् अस्ति","पर्वतस्य शिखरं रमणीयम् अस्ति।"
"(त्वम्) पश्चात् किं करिष्यसि","(त्वम्) पश्चात् किं करिष्यसि","पश्चात् किं करिष्यसि।"
"(त्वम्) पश्चात् भोजनम् कुरु","(त्वम्) पश्चात् भोजनम् कुरु","पश्चात् भोजनं कुरु।"
"(त्वम्) पश्चात् मध्याह्ने किम् किम् करिष्यसि","(त्वम्) पश्चात् मध्याह्ने किम् किम् करिष्यसि","पश्चात् मध्याह्ने किं किं करिष्यसि।"
